DriverID,LapNumber,LapTime,TireType,TireWear,TotalPitStops,StrategyType,StartingPosition,Position,AvgLapTime,LapTimeDelta,PitStop,CumulativeTireWear,LapsSincePit,DegradationRate,TireEfficiency,PitTime,AvgPitTime,PositionChange,PerformanceGainAfterPit
1,1,85.0045,Soft,0.03,0,2-stop,1,1,87.003,-1.998500000000007,False,0.03,1,0.03,82.52864077669902,0.0,0.0,0,0.0
1,2,85.009,Soft,0.06,0,2-stop,1,1,87.006,-1.9969999999999999,False,0.09,2,0.03,80.19716981132075,0.0,0.0,0,0.0
1,3,85.0135,Soft,0.09,0,2-stop,1,1,87.00899999999999,-1.9954999999999927,False,0.18,3,0.03,77.9940366972477,0.0,0.0,0,0.0
1,4,85.018,Soft,0.12,0,2-stop,1,1,87.012,-1.9939999999999998,False,0.3,4,0.03,75.90892857142856,0.0,0.0,0,0.0
1,5,85.0225,Soft,0.15,0,2-stop,1,1,87.015,-1.9925000000000068,False,0.44999999999999996,5,0.03,73.93260869565218,0.0,0.0,0,0.0
1,6,85.027,Soft,0.18,0,2-stop,1,1,87.018,-1.9909999999999997,False,0.6299999999999999,6,0.03,72.05677966101696,0.0,0.0,0,0.0
1,7,85.0315,Soft,0.21,0,2-stop,1,1,87.02099999999999,-1.9894999999999925,False,0.8399999999999999,7,0.03,70.27396694214876,0.0,0.0,0,0.0
1,8,85.036,Soft,0.24,0,2-stop,1,1,87.024,-1.9879999999999995,False,1.0799999999999998,8,0.03,68.57741935483871,0.0,0.0,0,0.0
1,9,85.0405,Soft,0.27,0,2-stop,1,1,87.027,-1.9865000000000066,False,1.3499999999999999,9,0.030000000000000002,66.96102362204724,0.0,0.0,0,0.0
1,10,85.045,Soft,0.3,0,2-stop,1,1,87.03,-1.9849999999999994,False,1.65,10,0.03,65.41923076923077,0.0,0.0,0,0.0
1,11,85.0495,Soft,0.33,0,2-stop,1,1,87.03299999999999,-1.9834999999999923,False,1.98,11,0.030000000000000002,63.946992481203,0.0,0.0,0,0.0
1,12,85.054,Soft,0.3600000000000001,0,2-stop,1,1,87.036,-1.9819999999999993,False,2.34,12,0.03000000000000001,62.53970588235294,0.0,0.0,0,0.0
1,13,85.0585,Soft,0.3900000000000001,0,2-stop,1,1,87.039,-1.9805000000000064,False,2.73,13,0.03000000000000001,61.19316546762589,0.0,0.0,0,0.0
